Taxa,Class,Order,Family,Genus,functional.group,Nitrogen.fixation,Si.demand,Mixotrophy,Colony,Mobility,Pigment,Ind_size,Colony_size,Source,System
Achnanthes incognita,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,88.53268579,Kremer,
Achnanthes inflata,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,3765.209158,Kremer,
Achnanthes laevis,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,52.7,Kremer,
Achnanthes lanceolata,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,458,458,Maiko,Inba
Achnanthes lapidosa,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,242,Kremer,
Achnanthes lemmermannii,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,11.2728678,Kremer,
Achnanthes longipes,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,1,0,BW,,5145,Kremer,
Achnanthes minutissima,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,67.5,67.5,Clark,Bw
Achnanthes minutissima,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,315,Orlane,Gv
Achnanthes nodosa,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,1,0,BW,,27.98749231,Kremer,
Achnanthes obliqua,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,NA,SCOR,
Achnanthes oblongella,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,37.87185334,Kremer,
Achnanthes pinnata,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,54.82806457,Kremer,
Achnanthes ricula,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,31.75507948,Kremer,
Achnanthes rossii,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,66.44873279,Kremer,
Achnanthes rupestoides,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,156.8125653,Kremer,
Achnanthes saxonica,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,143,Kremer,
Achnanthes sp.,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,477,477,Clark,Bw
Achnanthes sp.,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,270,Orlane,Gv
Achnanthes spp.,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,458,458,Maiko,Inba
Achnanthes stewartii,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,126.5384439,Kremer,
Achnanthes subatomus,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,176.8767248,Kremer,
Achnanthes subhudsonis,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,45.81733476,Kremer,
Achnanthes submarina,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,137.0622245,Kremer,
Achnanthes subsaloides,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,NA,SCOR,
Achnanthes suchlandtii,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,69.76178774,Kremer,
Achnanthes taeniata,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,1,0,BW,,571.6927284,Klais,
Achnanthes thermalis,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,195.9919473,Kremer,
Achnanthes ventralis,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,241.0561785,Kremer,
Achnanthidium affine,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,54.45128106,Kremer,
Achnanthidium duthii,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,91.03570728,Kremer,
Achnanthidium exiguum,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,75.15774924,Kremer,
Achnanthidium exilis,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,159.6164704,Kremer,
Achnanthidium hungaricum,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,492.9341518,Kremer,
Achnanthidium microcephalum,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,146,Kremer,
Achnanthidium minutissimum,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,91.00000004,Klais,
Achnanthidium minutissimum,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,NA,SCOR,
Achnanthidium minutissimum,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,37.61225729,Kremer,
Achnanthidium minutissimum complex,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,157.1306628,Lin,Ks
Achnanthidium pyrenaicum,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,NA,SCOR,
Achnanthidium trinodis,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,MP,0,1,0,0,0,BW,,104,Kremer,
Achroonema,Cyanophyceae,,,Achroonema,,0,0,0,1,0,B,,212.7532227,Klais,
Achroonema,Cyanophyceae,,,Achroonema,,0,0,0,1,0,B,,NA,SCOR,
Achroonema articulatum,Cyanophyceae,,,Achroonema,,0,0,0,1,0,B,,713.39,Orlane,Gv
Achnanthes lanceolata,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,0,0,0,1,0,BW,,880,Kanako,
Achnanthes minutissima,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,0,0,0,1,0,BW,,880,Kanako,
Achnanthes sp.,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,0,0,0,1,0,BW,,500,Kanako,
Actinastrum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,NA,SCOR,
Actinastrum fluviatile,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,NA,SCOR,
Actinastrum gracillimum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,74,Kanako,
Actinastrum gracillimum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,141,Kremer,
Actinastrum gracillimum var. elongatum,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,NA,SCOR,
Actinastrum hantzchii var. fluviatile,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,68,Cornell,Oneida
Actinastrum hantzschii,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,190,190,Clark,Bw
Actinastrum hantzschii,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,4400,Orlane,Gv
Actinastrum hantzschii,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,122.792075,Klais,
Actinastrum hantzschii,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,NA,SCOR,
Actinastrum hantzschii,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,190,Kanako,
Actinastrum hantzschii,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,76.23111657,Kremer,
Actinastrum hantzschii,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,190,190,Maiko,Inba
Actinastrum hantzschii,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,68,Cornell,Oneida
Actinastrum hantzschii var. fluviatile,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,74,Kanako,
Actinastrum hantzschii var. fluviatile,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,74,74,Maiko,Inba
Actinastrum hantzschii var. subtile,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,NA,SCOR,
Actinastrum sp.,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,74,Kanako,
Actinastrum spp.,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Actinastrum,J,0,0,0,1,0,G,,69.96164743,Lin,Ks
Actinella punctata,Bacillariophyceae,Eunotiales,Eunotiaceae,Actinella,,0,1,0,0,0,BW,,2535.544599,Kremer,
Actinocyclus,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,38367.65861,Klais,
Actinocyclus curvatulus,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,NA,SCOR,
Actinocyclus divisus,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,NA,SCOR,
Actinocyclus ehrenbergii,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,75300.99971,Klais,
Actinocyclus normanii,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,31664.70722,Lin,Ks
Actinocyclus normanii,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,NA,SCOR,
Actinocyclus normanii,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,4940.01384,Kremer,
Actinocyclus normanii f. normanii,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,NA,SCOR,
Actinocyclus normanii f. subsalsus,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,44001,Klais,
Actinocyclus normanii f. subsalsus,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,NA,SCOR,
Actinocyclus octonarius var. crassus,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,30419.88818,Klais,
Actinocyclus octonarius var. octonarius,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,NA,SCOR,
Actinocyclus octonarius var. tenellus,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,27118.37632,Klais,
Actinocyclus roperi,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,,NA,SCOR,
Actinocyclus sp.,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,0,1,0,0,0,BW,7854,7854,Maiko,Inba
Actinoptychus,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,0,1,0,0,0,BW,,NA,SCOR,
Actinoptychus octonarius,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,0,1,0,0,0,BW,,33861.84184,Klais,
Actinoptychus octonarius,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,0,1,0,0,0,BW,,NA,SCOR,
Actinoptychus senarius,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,0,1,0,0,0,BW,,2814.440001,Klais,
Actinoptychus senarius,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,0,1,0,0,0,BW,,NA,SCOR,
Actinoptychus senarius,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,0,1,0,0,0,BW,,1866.018189,Kremer,
Actinoptychus splendens,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,0,1,0,0,0,BW,,NA,SCOR,
Actinoptychus undulatus,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,0,1,0,0,0,BW,,9342.979762,Kremer,
Actinotaenium curtum,Conjugophyceae,Zygnematales,Desmidiaceae,Actinotaenium,,0,0,0,0,0,G,,17184,Kremer,
Acutodesmus,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,J,0,0,0,1,0,G,,NA,SCOR,
Acutodesmus acuminatus,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,J,0,0,0,1,0,G,,460.6057495,Klais,
Acutodesmus acuminatus,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,J,0,0,0,1,0,G,,NA,SCOR,
Acutodesmus acutiformis,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,J,0,0,0,1,0,G,,NA,SCOR,
Acutodesmus incrassatulus,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,J,0,0,0,1,0,G,,NA,SCOR,
Acutodesmus obliquus,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,J,0,0,0,1,0,G,,288.0569907,Klais,
Acutodesmus obliquus,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,J,0,0,0,1,0,G,,NA,SCOR,
Agmenellum elegans,Cyanophyceae,Synechococcales,Merismopediaceae,Agmenellum,,0,0,0,1,0.5,B,,88.57714042,Kremer,
Akashiwo sanguinea,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,,0,0,1,0,1,BW,,38379.53754,Klais,
Akashiwo sanguinea,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,,0,0,1,0,1,BW,,NA,SCOR,
Alexandrium,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Lm,0,0,1,0,1,BW,,9944.699623,Klais,
Alexandrium,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Lm,0,0,1,0,1,BW,,NA,SCOR,
Alexandrium catenella,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Lm,0,0,1,0,1,BW,,4732.376945,Kremer,
Alexandrium ostenfeldii,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Lm,0,0,1,0,1,BW,,42030.04506,Klais,
Alexandrium ostenfeldii,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Lm,0,0,1,0,1,BW,,NA,SCOR,
Alexandrium pseudogonyaulax,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Lm,0,0,0,0,1,BW,,47687.60215,Klais,
Alexandrium pseudogonyaulax,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Lm,0,0,0,0,1,BW,,NA,SCOR,
Alexandrium tamarense,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Lm,0,0,1,0,1,BW,,20390.9491,Klais,
Alexandrium tamarense,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Lm,0,0,1,0,1,BW,,1297.006302,Kremer,
Algirosphaera robusta,Prymnesiophyceae,Syracosphaerales,Rhabdosphaeraceae,Algirosphaera,,0,0,1,0,1,BW,,NA,SCOR,
Amphidinium,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,,0,0,0,0,1,BW,,1111.27109,Klais,
Amphidinium,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,,0,0,0,0,1,BW,,NA,SCOR,
Amphidinium acutum,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,,0,0,0,0,1,BW,,NA,SCOR,
Amphidinium carterae,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,,0,0,0,0,1,BW,,1601,Klais,
Amphidinium carterae,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,,0,0,0,0,1,BW,,NA,SCOR,
Amphidinium extensum,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,,0,0,1,0,1,BW,,NA,SCOR,
Amphidinium sp.,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,,0,0,1,0,1,BW,,380,Orlane,Gv
Amphikrikos sp.,Chlorophyceae,Chlorellales,Oocystaceae,Amphikrikos,,0,0,0,1,0,G,,100,Kanako,
Amphipleura pellucida,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,MP,0,1,0,0,0,BW,,2520,Orlane,Gv
Amphipleura pellucida,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,MP,0,1,0,0,0,BW,,NA,SCOR,
Amphipleura pellucida,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,MP,0,1,0,0,0,BW,,517.5193576,Kremer,
Amphiprora,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,MP,0,1,0,0,0,BW,,20401,Klais,
Amphiprora ornata,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,MP,0,1,0,0,0,BW,,20401,Klais,
Amphiprora paludosa var. paludosa,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,MP,0,1,0,0,0,BW,,NA,SCOR,
Amphora,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,2132.716314,Klais,
Amphora,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora acuta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,820.9999996,Klais,
Amphora acuta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora acutiuscula,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,1762.385752,Kremer,
Amphora angusta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,244.5427801,Kremer,
Amphora coffeaeformis,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,156.4684736,Kremer,
Amphora coffeaeformis var. coffeaeformis,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora commutata,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora commutata,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,31875,Kremer,
Amphora copulata,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora crassa,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora delicatissima,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,110.2,Klais,
Amphora delicatissima,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,125.0062563,Kremer,
Amphora delplinea,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,1000,Kanako,
Amphora delplinea var. minor,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,1000,Kanako,
Amphora exigua,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,160.0014688,Kremer,
Amphora inariensis,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,80.45604387,Kremer,
Amphora laevis var. minuta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora lineolata,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,3841.499242,Klais,
Amphora montana,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,187.995416,Kremer,
Amphora ocellata,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,5246.794095,Kremer,
Amphora ovalis,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,32000,Orlane,Gv
Amphora ovalis,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,11463.77093,Klais,
Amphora ovalis,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,2000,Kanako,
Amphora ovalis,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,1229.466631,Kremer,
Amphora ovalis var. libyca,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,1000,Kanako,
Amphora pediculus,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,135,Orlane,Gv
Amphora pediculus,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora perpusilla,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,76.50708684,Kremer,
Amphora proteoides,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora proteus,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora robusta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora sp.,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,4500,Orlane,Gv
Amphora sp.,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,1000,Kanako,
Amphora sp.,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,1000,1000,Maiko,Inba
Amphora spectabilis,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,NA,SCOR,
Amphora spp.,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,299.5974986,Lin,Ks
Amphora submontana,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,243.0987256,Kremer,
Amphora thumensis,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,230.6169133,Kremer,
Amphora veneta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,0,1,0,0,0,BW,,350.2356198,Kremer,
Amylax triacantha,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Amylax,Lm,0,0,0,0,1,BW,,10560.44549,Klais,
Amylax triacantha,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Amylax,Lm,0,0,0,0,1,BW,,NA,SCOR,
